Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF/10V","CP_EIA-3528-21_Kemet-B",1.100000,1.300000,180.000000,top
"C2","220pF","C_0805_2012Metric",1.500000,0.900000,270.000000,top
"C3","10uF/50V","CP_EIA-7260-38_AVX-R",2.200000,0.700000,270.000000,top
"C4","100nF","C_0805_2012Metric",0.800000,0.800000,180.000000,top
"C5","10uF/50V","CP_EIA-7260-38_AVX-R",2.200000,2.300000,270.000000,top
"C6","10uF/50V","CP_EIA-7260-38_AVX-R",1.900000,2.300000,270.000000,top
"D1","MBRS340T3","D_SMC",1.900000,1.300000,90.000000,top
"D2","MBRS340T3","D_SMC",2.600000,1.800000,90.000000,top
"D3","LED_ALT","LED_0805_2012Metric",0.900000,2.200000,90.000000,top
"D4","CCLHM080","D_MiniMELF",1.500000,2.400000,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",0.400000,0.100000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",0.100000,2.600000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",2.660000,0.350000,0.000000,top
"M1","IRFR9024","TO-252-2",1.900000,1.800000,270.000000,top
"Q1","CMPTA06","SOT-23",1.300000,2.200000,90.000000,top
"Q2","MMBT2907ALT1","SOT-23",1.300000,2.000000,90.000000,top
"Q3","CMPTA06","SOT-23",1.100000,2.000000,90.000000,top
"Q4","CMPTA06","SOT-23",1.100000,2.200000,90.000000,top
"R2","5.1K","R_0805_2012Metric",1.500000,2.200000,180.000000,top
"R3","0.25R","R_2512_6332Metric",1.800000,0.600000,180.000000,top
"R4","1.5K","R_0805_2012Metric",1.500000,1.100000,270.000000,top
"R5","470R","R_0805_2012Metric",1.300000,0.700000,0.000000,top
"R7","68K","R_0805_2012Metric",0.800000,0.700000,0.000000,top
"R8","22K","R_0805_2012Metric",0.800000,0.900000,180.000000,top
"U1","MAX713CSE","SOIC-16_3.9x9.9mm_P1.27mm",1.100000,1.000000,0.000000,top
